id,pH,temp,press,hum,sol_temp,red,green,blue
0,2.33,27.87,100223.41,67.0,26.69,228.8360732339323,200.34586466165413,160.6757996686632
1,2.21,28.01,100218.53,65.0,26.56,209.65321505486617,177.03471438826787,137.29427750999898
2,2.46,27.98,100213.88,64.0,26.37,228.71715210355987,206.72080443828017,175.44077669902913
3,2.46,27.98,100214.05,67.0,26.25,225.4700533175356,201.9067239336493,169.99520142180094
4,2.37,28.01,100214.18,69.0,26.25,224.93354443226565,198.16709292412617,163.0837088458572
5,2.42,28.02,100210.42,69.0,26.25,202.34773909563825,170.62479991996798,136.11819727891157
6,2.21,28.05,100208.25,65.0,26.25,229.6630295250321,209.56485587583148,181.8223538335862
7,2.46,28.01,100207.85,70.0,26.19,214.03531791591493,189.2958832212564,160.0154174184025
8,2.49,27.85,100203.59,68.0,26.12,225.3208399787347,208.6234981392876,176.39093567251462
9,2.3,27.86,100202.58,70.0,26.62,229.54784688995213,207.9043062200957,176.2384370015949
10,2.19,27.79,100210.5,68.0,26.62,215.74450406785527,188.67136922278,156.808637701229
11,2.17,27.8,100212.25,67.0,26.5,215.4095561484356,190.19432452097988,159.57244724715014
12,2.33,27.78,100211.91,73.0,26.5,231.5813186813187,210.39731379731376,179.53296703296704
13,2.26,27.78,100210.01,71.0,26.44,232.1942708333333,209.95711805555555,178.22644675925926
14,2.19,27.82,100209.14,66.0,26.37,225.713171273301,205.7841407117396,177.32928183252497
15,2.19,27.82,100210.47,68.0,26.37,230.40690113787497,207.61681690557117,174.72735333234817
16,2.39,28.09,100213.89,67.0,27.25,233.45864258617848,211.64386442355269,178.1917779976909
17,2.46,28.12,100219.03,74.0,27.25,229.19003787081843,200.7100778455712,160.6178203240059
18,2.19,28.1,100220.1,67.0,27.31,233.75939955106625,214.0960531238309,183.3970258136925
19,2.33,28.13,100222.83,69.0,27.37,231.59524347106196,206.85621283961768,173.72412884774593
20,2.49,28.14,100221.42,63.0,27.37,226.78579494128277,206.4743394308943,178.44046409214093
21,2.49,28.01,100219.22,64.0,28.44,226.67383805374,198.59250181554103,160.55700798838055
22,2.35,28.06,100221.28,70.0,28.37,238.44126607989168,224.69515910629656,202.0897088693297
23,2.51,28.05,100219.57,73.0,28.31,226.67006877377813,203.89665642376357,173.6350965759438
24,2.44,28.03,100218.46,74.0,28.31,207.89764824547436,177.53962945267293,143.65578382969687
25,2.15,28.01,100217.85,76.0,28.25,225.08256413736936,197.52399212705308,159.82262114836433
26,2.51,28.0,100206.78,76.0,28.75,228.72059275971696,203.09270844016,166.53789354937956
27,2.12,28.0,100204.67,83.0,28.69,208.8080808080808,179.3808867899777,143.35904499540862
28,2.49,28.04,100204.22,80.0,28.62,227.0324369747899,201.9097899159664,168.06873949579833
29,2.12,28.08,100204.51,76.0,28.56,225.81349206349208,201.2280242905243,162.1196188071188
30,2.24,28.1,100204.64,78.0,28.5,227.18815318005372,199.98954911914004,165.04113168109885
31,2.19,28.2,100196.43,77.0,29.69,224.22027567340064,198.50610269360268,163.87031776094275
32,2.39,28.23,100197.0,74.0,29.62,238.7044461914745,230.20999301187985,214.30599231306775
33,2.49,28.21,100196.92,77.0,29.56,225.4042328042328,202.78090637221072,170.44034966643662
34,2.49,28.17,100196.26,68.0,29.5,223.76744044725328,197.049890617404,160.22824501701507
35,2.49,28.15,100195.47,76.0,29.37,238.63936996118244,224.78131531800537,199.36820692744104
36,2.12,28.13,100199.25,73.0,29.31,221.99109643857545,193.42837134853943,159.0079031612645
37,2.26,28.1,100186.2,74.0,30.81,226.52335969771687,204.0982420186365,173.6028371065356
38,2.08,28.14,100190.32,77.0,30.75,210.287616789848,180.20443452795985,143.72061079347372
39,2.08,28.13,100192.81,73.0,30.75,237.28448761261265,218.0353322072072,183.36810247747744
40,2.12,28.14,100194.69,76.0,30.62,222.06392339544516,196.28588681849556,162.72778640441683
41,2.46,28.14,100194.52,67.0,30.56,236.9256913470116,218.9193577163247,186.70624442462088
42,2.08,28.15,100192.86,78.0,30.44,226.45217163788595,207.09037153322868,166.91072736787024
43,2.08,28.17,100196.32,76.0,30.37,211.6440719144801,180.450583090379,142.84985422740525
44,2.08,28.29,100185.67,68.0,31.87,228.32886473429951,200.19987922705317,159.06642512077295
45,2.37,28.26,100190.12,78.0,31.81,221.26538756225256,193.2377410292428,156.4922742944707
46,2.05,28.26,100189.27,73.0,31.69,228.91891674702669,205.5129781420765,171.79468016714884
47,2.15,28.24,100189.21,69.0,31.5,236.66884142163437,219.24092114278903,192.02648434474332
48,2.51,28.25,100190.52,71.0,31.37,213.0251357577752,182.0240661510614,145.80915747901926
49,2.46,28.73,100186.95,82.0,31.94,225.75145067698256,199.8124865678057,165.12045991833227
50,2.39,28.66,100186.58,73.0,32.06,236.1213870759521,214.8800831958689,182.0990461163308
51,2.03,28.63,100184.33,78.0,32.0,230.04985984374068,206.39518101031788,172.99785292538917
52,2.44,28.6,100189.02,70.0,31.87,224.84102026554856,198.8809523809524,165.0494159928122
53,2.33,28.64,100185.46,74.0,31.75,232.8040893048949,211.24232775817092,179.94571888905938
54,2.21,26.43,100794.53,58.0,24.87,228.0864812508648,205.1361214888612,173.12847654628476
55,2.24,26.45,100792.99,70.0,24.81,231.69060773480663,214.97881687104163,189.93041369087723
56,2.24,26.47,100794.46,64.0,24.81,235.725007244277,218.2466273865868,189.880936282559
57,2.21,26.47,100795.03,61.0,24.81,240.4185774533083,225.03161214870468,198.814757061346
58,2.21,26.49,100791.85,68.0,24.75,219.45248547180063,196.21363769388356,162.32986328859903
59,2.04,26.54,100787.58,63.0,26.19,235.95735090152567,217.6848474341193,187.9761095700416
60,2.21,26.58,100790.56,65.0,26.25,236.3447944395149,217.74859509021,188.28534457261165
61,2.13,26.57,100790.57,65.0,26.37,225.86915155186543,199.81887182411003,164.9612300894416
62,2.04,26.56,100791.48,65.0,26.37,221.4209880239521,197.96383233532933,163.91994011976047
63,2.07,26.55,100788.74,65.0,26.44,232.1575975113664,210.16496769562096,176.29231873653984
64,2.41,26.51,100786.5,66.0,25.56,218.6874754459024,199.50113931012808,163.19195411330242
